Simulation,NumTargets,TargetID,StartDOA,SNR,Velocity
128,3,2,30,0,0
129,4,0,57,-8,-1
129,4,1,9,14,2
129,4,2,172,-2,0
129,4,3,54,19,-1
130,1,0,5,2,2
132,3,0,102,7,0
132,3,1,0,-1,2
132,3,2,76,-6,2
133,4,0,16,-7,1
133,4,1,12,12,0
133,4,2,58,18,1
133,4,3,105,-8,1
134,4,0,130,7,-2
134,4,1,15,-3,2
134,4,2,6,8,2
134,4,3,25,2,2
135,3,0,103,6,1
135,3,1,71,-10,0
135,3,2,113,-7,0
137,3,0,107,14,-1
137,3,1,50,7,2
137,3,2,39,3,1
138,4,0,166,19,-2
138,4,1,33,-5,0
138,4,2,137,13,0
138,4,3,70,12,-1
140,1,0,95,-7,-1
141,3,0,176,18,-2
141,3,1,13,2,1
141,3,2,158,3,0
142,3,0,32,1,0
142,3,1,1,-3,2
142,3,2,102,2,0
143,2,0,159,-2,-2
143,2,1,10,9,0
144,4,0,45,8,0
144,4,1,42,4,1
144,4,2,67,-3,0
144,4,3,100,-3,1
145,4,0,143,-4,-1
145,4,1,97,-5,1
145,4,2,17,-7,1
145,4,3,127,4,1
147,4,0,2,-4,2
147,4,1,100,-3,1
147,4,2,26,3,1
147,4,3,101,-5,-2
149,3,0,74,7,1
149,3,1,124,18,-2
149,3,2,41,-5,0
150,3,0,169,12,-1
150,3,1,171,-3,-2
150,3,2,84,10,0
151,2,0,161,12,-2
151,2,1,155,4,-2
152,2,0,166,8,-2
152,2,1,127,-10,1
153,2,0,27,15,0
153,2,1,126,7,1
154,2,0,139,-5,-2
154,2,1,54,-7,2
155,2,0,136,17,-2
155,2,1,72,4,2
156,4,0,147,15,-1
156,4,1,17,12,2
156,4,2,5,-6,0
156,4,3,30,-6,0
157,4,0,112,-8,-1
157,4,1,28,-10,0
157,4,2,85,10,0
157,4,3,51,15,-1
158,2,0,73,4,0
158,2,1,62,0,1
159,1,0,115,14,-2
161,1,0,71,-6,1
163,4,0,65,-6,2
163,4,1,120,4,-1
163,4,2,26,4,2
163,4,3,52,2,-1
164,2,0,176,-4,-2
164,2,1,145,-9,-1
165,3,0,114,16,0
165,3,1,9,19,0
165,3,2,73,9,2
166,3,0,124,15,-1
166,3,1,86,4,1
166,3,2,118,7,0
168,1,0,54,0,2
169,2,0,91,-8,1
169,2,1,1,-10,1
170,1,0,22,17,0
171,4,0,10,-7,0
171,4,1,171,13,-2
171,4,2,133,-9,0
171,4,3,22,13,0
173,2,0,50,2,2
173,2,1,136,-1,-2
174,4,0,131,-5,-2
174,4,1,7,-5,0
174,4,2,101,-4,-2
174,4,3,135,15,-1
175,4,0,165,15,0
175,4,1,123,5,-1
175,4,2,111,-3,-2
175,4,3,55,-8,0
177,4,0,60,-2,0
177,4,1,133,-6,-2
177,4,2,149,-10,-2
177,4,3,3,13,2
178,3,0,50,16,0
178,3,1,103,2,0
178,3,2,69,12,2
179,2,0,65,1,1
179,2,1,70,4,0
180,1,0,117,16,-1
181,1,0,128,-6,0
182,3,0,47,0,0
182,3,1,62,-3,-1
182,3,2,7,11,2
183,2,0,88,1,0
183,2,1,72,-2,0
184,4,0,85,2,0
184,4,1,94,5,-1
184,4,2,114,6,-1
184,4,3,41,19,2
185,2,0,138,16,-1
185,2,1,89,10,1
186,4,0,151,2,0
186,4,1,107,2,1
186,4,2,29,19,2
186,4,3,101,-10,0
187,4,0,85,-3,1
187,4,1,90,12,0
187,4,2,102,2,-2
187,4,3,163,14,-1
188,4,0,66,-6,1
188,4,1,157,-9,-1
188,4,2,162,-1,0
188,4,3,6,17,0
189,3,0,8,-3,1
189,3,1,61,-2,2
189,3,2,95,-10,-1
192,1,0,76,1,1
193,1,0,85,-9,-1
196,3,0,86,-7,1
196,3,1,129,7,-2
196,3,2,112,14,-1
197,2,0,139,0,-2
197,2,1,111,0,-1
198,3,0,32,2,1
198,3,1,138,-7,-1
198,3,2,177,14,-2
200,2,0,70,8,-1
200,2,1,111,19,-1
201,4,0,98,4,1
201,4,1,29,1,1
201,4,2,20,-10,0
201,4,3,67,-5,-1
202,1,0,47,9,2
203,1,0,22,6,1
204,3,0,155,8,-2
204,3,1,147,17,-2
204,3,2,26,9,2
205,2,0,50,4,0
205,2,1,0,-6,1
208,2,0,160,5,-2
208,2,1,61,13,-1
210,2,0,145,7,-1
210,2,1,70,3,-1
211,4,0,39,-9,1
211,4,1,57,11,0
211,4,2,151,-9,0
211,4,3,126,10,-2
212,3,0,165,-9,0
212,3,1,171,17,-2
212,3,2,69,5,0
213,1,0,79,13,2
214,2,0,105,10,-2
214,2,1,160,4,-2
217,2,0,90,15,0
217,2,1,115,16,1
218,4,0,22,0,0
218,4,1,47,-7,1
218,4,2,161,16,0
218,4,3,11,-5,1
219,3,0,131,19,0
219,3,1,62,14,0
219,3,2,108,9,0
220,2,0,81,2,0
220,2,1,90,-6,-1
221,1,0,98,5,-1
222,1,0,133,2,-2
223,2,0,57,9,2
223,2,1,165,17,-1
226,3,0,150,11,-1
226,3,1,143,-8,-1
226,3,2,78,8,0
228,4,0,118,-3,0
228,4,1,159,-4,0
228,4,2,61,0,1
228,4,3,95,-10,-1
229,1,0,101,-4,0
230,4,0,145,18,-2
230,4,1,88,5,0
230,4,2,44,-6,0
230,4,3,88,0,0
231,2,0,24,9,1
231,2,1,110,1,-1
233,1,0,76,0,1
236,1,0,59,6,0
237,1,0,60,4,1
238,1,0,31,-1,0
240,1,0,25,2,0
241,1,0,147,1,-2
242,2,0,72,17,-1
242,2,1,122,0,1
244,4,0,119,17,1
244,4,1,1,7,2
244,4,2,161,1,-2
244,4,3,134,-1,0
245,1,0,135,1,0
246,4,0,148,7,-2
246,4,1,90,-8,0
246,4,2,169,11,-1
246,4,3,103,17,-1
247,4,0,63,16,2
247,4,1,87,0,0
247,4,2,29,5,2
247,4,3,15,19,1
248,4,0,100,3,-1
248,4,1,168,-5,0
248,4,2,178,0,-1
248,4,3,42,-7,0
250,2,0,62,14,1
250,2,1,102,18,0
252,3,0,130,13,1
252,3,1,177,-4,0
252,3,2,153,1,0
253,1,0,58,15,1
254,4,0,135,1,0
254,4,1,45,16,0
254,4,2,133,8,-1
254,4,3,49,17,2
255,4,0,100,-2,0
255,4,1,120,-6,-1
255,4,2,177,1,0
255,4,3,152,-8,0
257,3,0,20,13,2
257,3,1,81,-9,-1
257,3,2,155,-4,-2
258,4,0,121,-3,-1
258,4,1,14,16,1
258,4,2,128,16,0
258,4,3,76,12,0
259,2,0,86,14,1
259,2,1,92,-1,-1
260,4,0,164,9,-1
260,4,1,43,5,0
260,4,2,123,17,-1
260,4,3,45,6,0
261,1,0,79,7,0
262,2,0,141,10,-1
262,2,1,21,11,1
263,3,0,73,16,0
263,3,1,24,13,2
263,3,2,96,-3,1
264,4,0,169,1,-2
264,4,1,92,16,0
264,4,2,55,5,2
264,4,3,178,-1,-2
265,4,0,97,-9,0
265,4,1,163,3,-1
265,4,2,167,-7,-2
265,4,3,175,13,0
266,3,0,0,-6,2
266,3,1,149,-4,-1
266,3,2,77,6,0
267,2,0,132,17,0
267,2,1,77,-9,1
268,3,0,153,9,0
268,3,1,62,13,2
268,3,2,145,0,-2
269,1,0,152,7,-1
270,2,0,22,-4,1
270,2,1,53,-5,1
271,3,0,149,17,0
271,3,1,107,11,0
271,3,2,121,10,0
272,1,0,42,-3,2
273,2,0,142,7,-2
273,2,1,141,1,0
274,2,0,111,3,1
274,2,1,46,-7,2
276,3,0,59,-6,1
276,3,1,126,15,-2
276,3,2,25,19,2
277,1,0,20,4,1
279,2,0,33,-10,0
279,2,1,41,8,0
280,1,0,133,4,-2
281,4,0,63,16,1
281,4,1,137,3,0
281,4,2,133,9,-1
281,4,3,20,-8,1
282,3,0,16,17,2
282,3,1,61,9,-1
282,3,2,49,5,0
283,3,0,117,3,-1
283,3,1,33,-2,0
283,3,2,72,18,-1
284,3,0,19,12,2
284,3,1,128,-6,-1
284,3,2,153,19,-2
285,4,0,158,15,-2
285,4,1,42,14,0
285,4,2,98,-2,-1
285,4,3,116,15,-1
286,1,0,1,8,1
287,2,0,161,10,0
287,2,1,118,10,1
288,4,0,58,4,1
288,4,1,154,-9,0
288,4,2,129,19,-2
288,4,3,68,-4,1
289,3,0,33,9,2
289,3,1,146,-10,-1
289,3,2,73,-3,-1
290,3,0,105,19,1
290,3,1,97,-5,0
290,3,2,116,6,0
291,4,0,1,11,2
291,4,1,124,-9,-1
291,4,2,81,4,2
291,4,3,114,17,1
292,2,0,174,9,-1
292,2,1,144,-4,0
294,1,0,0,7,1
295,4,0,47,16,2
295,4,1,10,-7,1
295,4,2,125,10,-1
295,4,3,54,0,-1
296,2,0,88,-4,0
296,2,1,131,0,1
299,1,0,27,-8,2
300,2,0,125,-4,-2
300,2,1,61,9,-1
301,1,0,123,-1,0
302,3,0,54,-3,2
302,3,1,145,9,-2
302,3,2,44,17,1
305,3,0,121,-1,0
305,3,1,23,12,2
305,3,2,45,-2,1
306,1,0,84,-2,-1
307,2,0,48,10,2
307,2,1,101,-7,0
308,2,0,35,17,2
308,2,1,150,13,0
309,4,0,89,18,-1
309,4,1,25,4,1
309,4,2,47,-1,1
309,4,3,35,14,2
310,4,0,67,-6,-1
310,4,1,87,-6,-1
310,4,2,165,7,-1
310,4,3,62,-6,1
311,4,0,146,17,-2
311,4,1,69,1,-1
311,4,2,39,7,2
311,4,3,100,17,-2
312,4,0,53,8,1
312,4,1,101,4,1
312,4,2,59,16,1
312,4,3,41,17,2
313,3,0,56,12,2
313,3,1,80,11,-1
313,3,2,54,-8,1
314,2,0,47,14,0
314,2,1,36,-3,2
316,2,0,54,1,-1
316,2,1,88,19,1
317,1,0,111,-3,1
320,3,0,95,1,0
320,3,1,101,19,-1
320,3,2,133,7,0
321,2,0,164,11,-2
321,2,1,121,-8,-2
322,2,0,114,14,0
322,2,1,129,3,-2
325,2,0,2,-10,1
325,2,1,108,11,-1
326,4,0,179,7,-2
326,4,1,74,7,1
326,4,2,86,13,-1
326,4,3,105,12,-2
328,4,0,130,11,-2
328,4,1,75,8,0
328,4,2,180,-10,-2
328,4,3,112,10,-2
329,4,0,141,0,-1
329,4,1,158,-1,-1
329,4,2,55,-8,-1
329,4,3,112,-1,-2
330,1,0,21,-4,0
333,3,0,166,10,-2
333,3,1,108,-7,-1
333,3,2,158,-8,-1
336,4,0,56,12,2
336,4,1,111,3,1
336,4,2,72,3,-1
336,4,3,53,5,-1
337,1,0,14,-10,0
338,1,0,56,10,0
339,4,0,91,9,-1
339,4,1,128,14,-2
339,4,2,171,18,-1
339,4,3,58,-7,0
340,1,0,36,17,0
341,1,0,103,-1,-2
342,3,0,56,0,0
342,3,1,126,6,1
342,3,2,74,5,-1
343,3,0,12,-5,0
343,3,1,159,7,-1
343,3,2,111,-1,1
344,3,0,72,-7,0
344,3,1,129,17,1
344,3,2,15,-5,0
345,3,0,115,5,1
345,3,1,39,1,2
345,3,2,10,5,1
347,3,0,141,-3,0
347,3,1,180,6,0
347,3,2,86,2,0
348,2,0,177,-8,0
348,2,1,60,17,1
349,3,0,124,15,-2
349,3,1,81,19,2
349,3,2,118,5,1
351,1,0,100,9,-2
352,2,0,169,-1,-2
352,2,1,106,-6,-2
353,3,0,15,15,2
353,3,1,37,2,0
353,3,2,151,16,-2
354,4,0,99,0,-1
354,4,1,59,14,1
354,4,2,128,15,-2
354,4,3,43,-10,0
355,3,0,86,12,0
355,3,1,122,6,-2
355,3,2,54,5,-1
356,2,0,101,-3,-1
356,2,1,173,-3,-2
357,3,0,60,8,1
357,3,1,26,11,1
357,3,2,159,-6,-2
358,3,0,98,-7,0
358,3,1,51,15,-1
358,3,2,144,-10,-1
359,2,0,146,4,-2
359,2,1,121,11,0
360,4,0,36,18,1
360,4,1,5,3,2
360,4,2,39,-3,1
360,4,3,159,-8,-1
361,2,0,64,10,2
361,2,1,119,4,1
362,1,0,74,8,2
363,2,0,42,3,2
363,2,1,111,-4,-1
364,1,0,100,-4,-1
365,1,0,100,4,1
366,1,0,116,-2,-2
367,2,0,75,10,2
367,2,1,67,-4,1
368,1,0,131,-7,-2
369,1,0,39,15,1
371,2,0,107,0,-2
371,2,1,14,17,0
372,2,0,60,4,2
372,2,1,112,10,-2
373,3,0,49,5,2
373,3,1,69,-1,-1
373,3,2,125,9,1
374,4,0,115,19,-2
374,4,1,88,16,0
374,4,2,103,6,-2
374,4,3,149,8,-2
375,1,0,5,-10,0
376,4,0,101,6,-2
376,4,1,161,0,0
376,4,2,119,-2,0
376,4,3,120,14,-2
377,4,0,79,11,2
377,4,1,39,8,2
377,4,2,110,7,0
377,4,3,125,5,0
378,1,0,43,16,0
380,4,0,67,-9,-1
380,4,1,70,10,0
380,4,2,116,9,0
380,4,3,120,-7,-2
382,1,0,52,-1,-1
383,3,0,154,17,-1
383,3,1,20,16,1
383,3,2,180,0,-1
384,3,0,97,-1,1
384,3,1,94,2,1
384,3,2,172,-4,-1
385,1,0,123,0,-1
386,3,0,55,5,-1
386,3,1,58,6,-1
386,3,2,68,4,-1
387,4,0,103,-10,1
387,4,1,141,6,-2
387,4,2,144,-1,0
387,4,3,76,10,-1
388,4,0,117,17,1
388,4,1,126,16,0
388,4,2,129,5,-1
388,4,3,106,-1,-1
389,3,0,103,16,-2
389,3,1,57,11,-1
389,3,2,124,3,0
391,2,0,65,16,0
391,2,1,9,13,1
392,3,0,55,-1,-1
392,3,1,125,3,-1
392,3,2,18,14,0
393,4,0,149,-10,-1
393,4,1,73,-4,0
393,4,2,131,-5,-2
393,4,3,164,2,-1
394,4,0,142,11,-1
394,4,1,121,18,0
394,4,2,76,-4,-1
394,4,3,177,18,-2
395,2,0,103,-9,1
395,2,1,139,-9,-2
396,2,0,153,6,-1
396,2,1,110,-5,1
397,4,0,59,0,1
397,4,1,74,6,0
397,4,2,94,19,1
397,4,3,116,-2,1
398,4,0,125,-10,-2
398,4,1,77,11,2
398,4,2,142,-1,0
398,4,3,145,6,-2
399,1,0,106,8,0
400,3,0,131,12,0
400,3,1,131,2,-2
400,3,2,57,8,0
402,1,0,80,-5,0
403,3,0,35,14,2
403,3,1,173,-9,-1
403,3,2,48,-1,1
404,3,0,25,11,1
404,3,1,111,10,1
404,3,2,2,0,2
405,4,0,128,6,0
405,4,1,33,-8,1
405,4,2,85,5,-1
405,4,3,116,6,-2
406,1,0,10,0,1
407,3,0,48,19,0
407,3,1,1,-2,2
407,3,2,138,-2,-1
408,2,0,151,12,-1
408,2,1,14,14,2
409,2,0,58,-2,-1
409,2,1,113,-9,-1
410,4,0,54,11,1
410,4,1,136,6,-1
410,4,2,100,11,0
410,4,3,30,8,1
411,2,0,63,16,0
411,2,1,168,-5,-2
412,4,0,55,9,2
412,4,1,86,5,1
412,4,2,63,-8,0
412,4,3,3,-4,2
413,1,0,18,14,2
414,3,0,125,-4,-2
414,3,1,49,12,0
414,3,2,160,16,-1
415,4,0,160,10,-1
415,4,1,47,-9,0
415,4,2,62,5,1
415,4,3,177,2,-1
416,3,0,175,0,-2
416,3,1,106,6,1
416,3,2,116,-1,-1
417,2,0,51,-4,-1
417,2,1,163,8,-2
418,2,0,78,-6,2
418,2,1,18,19,0
419,3,0,153,-9,0
419,3,1,97,2,0
419,3,2,157,3,-1
421,4,0,54,-6,0
421,4,1,63,9,1
421,4,2,75,15,0
421,4,3,15,12,1
422,2,0,42,4,2
422,2,1,104,-2,0
424,2,0,143,-1,-1
424,2,1,130,12,0
425,2,0,108,-8,1
425,2,1,59,15,1
428,3,0,51,-2,-1
428,3,1,123,-10,0
428,3,2,11,-1,1
429,2,0,60,-1,1
429,2,1,54,6,1
430,2,0,21,-1,1
430,2,1,50,11,1
431,2,0,90,-9,0
431,2,1,162,-5,-1
432,4,0,169,10,0
432,4,1,87,7,-1
432,4,2,106,8,-1
432,4,3,66,1,-1
433,1,0,179,17,-2
434,3,0,86,-3,-1
434,3,1,38,7,0
434,3,2,159,2,0
435,4,0,63,-4,0
435,4,1,18,-9,0
435,4,2,13,13,0
435,4,3,106,3,-1
436,4,0,160,7,-2
436,4,1,89,19,0
436,4,2,17,-1,0
436,4,3,18,14,0
437,1,0,5,13,2
438,4,0,118,-10,0
438,4,1,101,6,1
438,4,2,50,1,0
438,4,3,81,15,-1
439,4,0,115,2,1
439,4,1,114,-9,1
439,4,2,28,18,0
439,4,3,112,-10,0
440,4,0,174,16,-1
440,4,1,58,-1,2
440,4,2,131,14,1
440,4,3,127,-4,0
441,2,0,156,0,-2
441,2,1,123,19,1
442,4,0,126,-1,0
442,4,1,8,-3,2
442,4,2,67,14,2
442,4,3,109,17,1
443,3,0,163,9,0
443,3,1,56,10,-1
443,3,2,90,18,1
444,4,0,116,19,1
444,4,1,48,9,1
444,4,2,81,-4,1
444,4,3,146,8,-1
445,4,0,9,-5,1
445,4,1,50,7,-1
445,4,2,6,-1,0
445,4,3,140,-8,-1
446,1,0,142,11,-2
447,2,0,80,-3,-1
447,2,1,7,2,0
448,3,0,59,11,2
448,3,1,93,8,1
448,3,2,127,-3,1
449,3,0,167,2,-1
449,3,1,124,7,0
449,3,2,53,18,0
450,3,0,11,3,0
450,3,1,164,15,-2
450,3,2,1,17,0
451,4,0,131,9,-2
451,4,1,100,-8,0
451,4,2,137,9,0
451,4,3,93,17,-1
452,1,0,64,6,2
453,4,0,123,9,-2
453,4,1,121,15,1
453,4,2,55,4,-1
453,4,3,149,7,-1
454,2,0,48,11,2
454,2,1,65,-1,0
455,4,0,82,9,0
455,4,1,143,-3,0
455,4,2,15,-1,0
455,4,3,105,-3,0
456,2,0,143,19,0
456,2,1,112,8,0
458,1,0,66,14,0
460,1,0,109,9,-2
461,3,0,59,12,2
461,3,1,70,4,0
461,3,2,67,15,-1
463,3,0,13,-1,2
463,3,1,169,11,-1
463,3,2,73,17,2
465,3,0,46,12,0
465,3,1,66,11,1
465,3,2,98,-5,-2
466,4,0,115,-6,-2
466,4,1,149,-1,0
466,4,2,29,2,0
466,4,3,111,14,1
467,2,0,72,-10,0
467,2,1,135,17,-1
468,2,0,157,6,-1
468,2,1,132,0,-1
469,1,0,180,1,0
470,4,0,83,-3,-1
470,4,1,109,9,-2
470,4,2,70,5,1
470,4,3,28,-3,1
471,4,0,91,9,1
471,4,1,108,0,0
471,4,2,39,12,0
471,4,3,57,17,0
472,3,0,71,3,0
472,3,1,61,16,-1
472,3,2,56,1,-1
473,3,0,81,1,-1
473,3,1,91,5,1
473,3,2,167,11,-2
474,2,0,141,9,-2
474,2,1,154,6,-1
476,1,0,53,-10,2
477,2,0,149,4,-2
477,2,1,43,2,0
479,3,0,6,15,0
479,3,1,34,-3,2
479,3,2,157,-2,-1
481,2,0,10,12,0
481,2,1,116,17,0
482,3,0,62,-7,-1
482,3,1,78,1,-1
482,3,2,163,-4,-1
484,3,0,173,-8,0
484,3,1,40,1,0
484,3,2,49,8,0
485,2,0,70,9,-1
485,2,1,61,-5,-1
486,4,0,174,4,0
486,4,1,122,-2,-2
486,4,2,101,0,-1
486,4,3,155,17,-1
487,3,0,98,13,-1
487,3,1,38,4,0
487,3,2,99,15,1
488,3,0,42,18,2
488,3,1,18,-7,2
488,3,2,27,1,2
489,1,0,20,-7,1
490,4,0,143,-4,0
490,4,1,140,19,-2
490,4,2,27,3,1
490,4,3,88,-2,-1
491,1,0,38,6,2
492,3,0,27,4,2
492,3,1,47,-1,0
492,3,2,55,2,1
493,2,0,173,3,-2
493,2,1,65,4,-1
494,2,0,173,-5,-1
494,2,1,104,-8,0
495,4,0,169,14,-2
495,4,1,143,6,0
495,4,2,72,4,-1
495,4,3,173,2,-2
496,3,0,94,10,1
496,3,1,174,13,0
496,3,2,69,-3,1
497,3,0,75,-6,1
497,3,1,8,7,1
497,3,2,48,2,1
498,1,0,103,7,0
499,4,0,4,2,1
499,4,1,11,-10,0
499,4,2,105,15,-1
499,4,3,123,7,0
500,2,0,178,-5,0
500,2,1,106,9,-1
